iter	precipitation	interception	throughfall	runoff	leak	evaporation	transpitation_0	transpitation_1	transpitation_2	transpitation_3	transpitation_4	transpiration1016	SWC_0	SWC_1	SWC_2	SWC_3	SWC_4	SWP_0	SWP_1	SWP_2	SWP_3	SWP_4
0	9.8	1.87553e-06	0.0086278	0	0.00695083	8.51681e-05	0.000262161	0.000394373	0.00034016	0.000220849	5.84966e-05	0.00121428	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
1	1	1.6e-06	0	0	0	0.000198084	0.000355725	0.000592385	0.000524103	0.000345189	9.16185e-05	0.00153818	0.328847	0.331735	0.332599	0.333174	0.333389	-0.0105992	-0.0102182	-0.0101075	-0.0100347	-0.0100076	
2	6.4	1.87044e-06	0.00523098	0	0.0017074	0.000140429	0.000242455	0.000365384	0.000315754	0.000205352	5.44667e-05	0.000925082	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
3	20.4	1.8678e-06	0.0192326	0	0.0179694	7.98513e-05	0.000114534	0.000172279	0.000148982	9.71142e-05	2.58166e-05	0.000449811	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
4	33.6	1.86517e-06	0.0324343	0	0.0317921	8.33846e-05	0.000170997	0.000256532	0.000220831	0.000143195	3.78949e-05	0.000748014	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
5	26.6	1.86261e-06	0.0254359	0	0.0243652	0.000241192	0.00032182	0.000483782	0.0004167	0.000270023	7.13791e-05	0.00125828	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
6	11.8	1.85996e-06	0.0106375	0	0.00882579	0.000248027	0.000413559	0.000620727	0.000533452	0.000344867	9.09931e-05	0.00161037	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
7	1	1.6e-06	0	0	0	9.61997e-05	0.000202318	0.000331756	0.000300038	0.000200802	5.37258e-05	0.000881217	0.328352	0.330751	0.332116	0.333019	0.333356	-0.0106663	-0.0103461	-0.0101692	-0.0100543	-0.0100118	
8	3.6	1.85489e-06	0.00244069	0	0	0.000139023	0.000257621	0.00038771	0.000328317	0.000211909	5.72244e-05	0.000944439	0.33345	0.333449	0.33295	0.332772	0.333301	-0.01	-0.00999999	-0.0100631	-0.0100855	-0.0100188	
9	12.4	1.8523e-06	0.0112423	0	0.00890906	0.000203696	0.000423103	0.000634892	0.000545443	0.000352439	9.29327e-05	0.00165213	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
10	3.6	1.85405e-06	0.00244122	0	0.000216573	0.000177535	0.000358009	0.000537051	0.00046139	0.000298225	7.86648e-05	0.0014863	0.33345	0.333449	0.33345	0.33345	0.333448	-0.01	-0.00999999	-0.01	-0.01	-0.0100002	
11	0.6	9.6e-07	0	0	0	0.000221842	0.000413494	0.000701134	0.000624674	0.000412534	0.000109336	0.00181319	0.327651	0.331115	0.332296	0.333077	0.333367	-0.0107622	-0.0102986	-0.0101461	-0.0100469	-0.0100104	
12	0.6	9.6e-07	0	0	0	0.000195879	0.00035865	0.000680846	0.000637916	0.000435767	0.000116763	0.00179869	0.321557	0.328066	0.330735	0.332561	0.333254	-0.0116438	-0.0107053	-0.0103482	-0.0101123	-0.0100246	
13	1.6	1.85648e-06	0.000439699	0	0	0.000170175	0.000295613	0.000520687	0.000514974	0.000366344	9.97999e-05	0.00148035	0.320666	0.325106	0.32914	0.332017	0.333134	-0.0117805	-0.0111198	-0.0105598	-0.010182	-0.0100398	
14	0.4	6.4e-07	0	0	0	0.000274332	0.000327711	0.000657482	0.000670349	0.000488302	0.00013394	0.0017874	0.314967	0.322842	0.327852	0.331559	0.333031	-0.0127041	-0.0114507	-0.0107346	-0.010241	-0.0100528	
15	0.2	3.2e-07	0	0	0	0.000258243	0.000310354	0.000702024	0.000745248	0.000561622	0.000155957	0.00200908	0.309107	0.319984	0.326176	0.330948	0.332893	-0.0137542	-0.0118866	-0.0109677	-0.0103203	-0.0100702	
16	0	0	0	0	0	0.000180522	0.000268816	0.000659538	0.00073292	0.000576075	0.000162913	0.00193011	0.304199	0.316931	0.324313	0.330246	0.332732	-0.0147233	-0.0123759	-0.0112344	-0.0104125	-0.0100906	
17	0.4	6.4e-07	0	0	0	0.000196244	0.000221012	0.000587569	0.000679479	0.000555822	0.000160035	0.00169733	0.299548	0.314064	0.322481	0.329526	0.332564	-0.0157267	-0.0128596	-0.0115048	-0.0105082	-0.010112	
18	4	1.85541e-06	0.00284037	0	0	0.000143215	0.000371197	0.000335887	0.00041296	0.000358487	0.000106877	0.00125688	0.324309	0.311509	0.320782	0.328831	0.332399	-0.0112361	-0.0133114	-0.0117629	-0.0106015	-0.010133	
19	17.8	1.85284e-06	0.016642	0	0.000154911	0.000120579	0.000226303	0.000340737	0.000294272	0.000188835	4.93467e-05	0.000892065	0.33345	0.333449	0.33345	0.333121	0.332731	-0.01	-0.00999999	-0.01	-0.0100417	-0.010091	
20	61.2	1.85004e-06	0.0600437	0	0.0579254	5.87912e-05	8.93979e-05	0.000134497	0.000116459	7.60972e-05	2.02848e-05	0.000273695	0.33345	0.333449	0.33345	0.33345	0.33345	-0.01	-0.00999999	-0.01	-0.01	-0.00999999	
