Site,Genus,Family,dbh,TotalHeight_m,CD,standardized_name
Londoungou,Hexalobus,Annonaceae,0.145,15,3,Hexalobus crispiflorus
Londoungou,Duboscia,Tiliaceae,0.142,15.6,6.2,Duboscia macrocarpa
Londoungou,Duboscia,Tiliaceae,0.511,26,16.7,Duboscia macrocarpa
Londoungou,Coelocaryon,Myristicaceae,0.885,42.5,4,Coelocaryon preussii
Londoungou,Duboscia,Tiliaceae,0.474,21.7,8.9,Duboscia macrocarpa
Londoungou,Tessmannia,Caesalpiniaceae,0.507,39,13.2,Tessmannia africana
Londoungou,Erythrophleum,Caesalpiniaceae,0.162,20.5,7.9,Erythrophleum suaveolens
Londoungou,Celtis,Ulmaceae,0.217,18.9,4,Celtis tessmannii
Londoungou,Gilbertiodendron,Caesalpiniaceae,1.031,34.6,19.3,Gilbertiodendron dewevrei
Londoungou,Gilbertiodendron,Caesalpiniaceae,1.125,41.9,24,Gilbertiodendron dewevrei
Londoungou,Gilbertiodendron,Caesalpiniaceae,0.669,38.2,16.5,Gilbertiodendron dewevrei
Londoungou,Gilbertiodendron,Caesalpiniaceae,0.652,37.3,9.5,Gilbertiodendron dewevrei
Londoungou,Manilkara,Sapotaceae,0.573,36.5,3,Manilkara mabokeensis
Londoungou,Gilbertiodendron,Caesalpiniaceae,0.504,33.2,16.6,Gilbertiodendron dewevrei
Londoungou,Gilbertiodendron,Caesalpiniaceae,1.065,38.6,18.1,Gilbertiodendron dewevrei
Londoungou,Gilbertiodendron,Caesalpiniaceae,1.235,38.7,11.1,Gilbertiodendron dewevrei
Londoungou,Tessmannia,Caesalpiniaceae,0.835,36.2,19.5,Tessmannia anomala
Londoungou,Duboscia,Tiliaceae,0.512,24,15.7,Duboscia macrocarpa
Londoungou,Gilbertiodendron,Caesalpiniaceae,0.848,32.6,18.9,Gilbertiodendron dewevrei
Londoungou,Cleistanthus,Euphorbiaceae,0.73,35.3,22.9,Cleistanthus caudatus
Londoungou,Pentaclethra,Mimosaceae,0.203,19.7,7,Pentaclethra macrophylla
Londoungou,Panda,Pandaceae,0.373,25.8,17.2,Panda oleosa
Londoungou,Gilbertiodendron,Caesalpiniaceae,0.71,33,9.9,Gilbertiodendron dewevrei
Londoungou,Gilbertiodendron,Caesalpiniaceae,0.915,35.3,24,Gilbertiodendron dewevrei
Londoungou,Petersianthus,Lecythidaceae,1.196,42.2,15.6,Petersianthus macrocarpus
Londoungou,Amphimas,Fabaceae,0.4,31.1,8.9,Amphimas pterocarpoides
Londoungou,Pausinystalia,Rubiaceae,0.27,30.4,9.9,Corynanthe macroceras
Londoungou,Celtis,Ulmaceae,0.613,30.9,9.5,Celtis tessmannii
Londoungou,Pteleopsis,Combretaceaea,0.485,30.9,13.6,Pteleopsis hylodendron
Londoungou,Petersianthus,Lecythidaceae,0.748,34.3,8.8,Petersianthus macrocarpus
Londoungou,Coelocaryon,Myristicaceae,0.589,35.1,8.7,Coelocaryon preussii
Londoungou,Dichostemma,Euphorbiaceae,0.202,18.2,6.3,Dichostemma glaucescens
Londoungou,Cleistanthus,Euphorbiaceae,0.351,22.2,10.7,Cleistanthus caudatus
Londoungou,Macaranga,Euphorbiaceae,0.173,18.4,8.3,Macaranga barteri
