"","standardized_name","n_individual_cd"
"1","Afrocanthium lactescens",1
"2","Afrostyrax kamerunensis",7
"3","Afrostyrax lepidophyllus",7
"4","Afzelia africana",1
"5","Afzelia bipindensis",7
"6","Aidia micrantha",8
"7","Aidia ochroleuca",2
"8","Albizia adianthifolia",26
"9","Albizia ferruginea",8
"10","Albizia glaberrima",32
"11","Albizia gummifera",5
"12","Albizia zygia",2
"13","Allanblackia floribunda",6
"14","Allanblackia kisonghi",7
"15","Allanblackia staneriana",10
"16","Allophylus africanus",9
"17","Allophylus hallaei",1
"18","Allophylus hamatus",1
"19","Alstonia boonei",41
"20","Amphimas ferrugineus",1
"21","Amphimas pterocarpoides",23
"22","Aneulophus africanus",1
"23","Angylocalyx pynaertii",37
"24","Anisophyllea polyneura",1
"25","Anisophyllea purpurascens",2
"26","Annea afzelii",8
"27","Annickia affinis",38
"28","Annickia chlorantha",6
"29","Anonidium mannii",85
"30","Anopyxis klaineana",20
"31","Anthocleista liebrechtsiana",1
"32","Anthocleista nobilis",1
"33","Anthocleista vogelii",1
"34","Anthonotha cladantha",2
"35","Anthonotha fragrans",1
"36","Anthonotha macrophylla",5
"37","Anthonotha stipulacea",1
"38","Anthostema aubryanum",7
"39","Antiaris toxicaria",4
"40","Antidesma laciniatum",3
"41","Antidesma membranaceum",3
"42","Antidesma vogelianum",1
"43","Antrocaryon klaineanum",7
"44","Antrocaryon micraster",1
"45","Aoranthe cladantha",6
"46","Aphanocalyx marginervatus",1
"47","Aubrevillea kerstingii",12
"48","Aucoumea klaineana",39
"49","Augouardia letestui",5
"50","Aulacocalyx subulata",1
"51","Autranella congolensis",2
"52","Baikiaea insignis",1
"53","Baillonella toxisperma",3
"54","Balanites wilsoniana",3
"55","Baphia buettneri",2
"56","Baphia laurifolia",13
"57","Baphia leptobotrys",14
"58","Barteria fistulosa",31
"59","Beilschmiedia congolana",8
"60","Beilschmiedia fulva",3
"61","Beilschmiedia obscura",8
"62","Berlinia auriculata",1
"63","Berlinia bracteosa",3
"64","Berlinia hollandii",1
"65","Bikinia letestui",1
"66","Bikinia pellegrinii",1
"67","Blighia welwitschii",31
"68","Bobgunnia fistuloides",1
"69","Bombax brevicuspe",3
"70","Bombax buonopozense",1
"71","Brenania brieyi",8
"72","Breviea sericea",1
"73","Brieya fasciculatum",1
"74","Calpocalyx dinklagei",5
"75","Calpocalyx heitzii",11
"76","Canarium schweinfurthii",1
"77","Carapa angustifolia",1
"78","Carapa procera",32
"79","Casearia barteri",2
"80","Cassia javanica",1
"81","Cassipourea schizocalyx",1
"82","Cavacoa quintasii",2
"83","Ceiba pentandra",13
"84","Celtis adolfi-friderici",33
"85","Celtis africana",7
"86","Celtis gomphophylla",1
"87","Celtis mildbraedii",76
"88","Celtis tessmannii",45
"89","Celtis zenkeri",22
"90","Centroplacus glaucinus",13
"91","Chaetachme aristata",2
"92","Chlamydocola chlamydantha",2
"93","Chrysophyllum africanum",3
"94","Chrysophyllum beguei",6
"95","Chrysophyllum boukokoense",26
"96","Chrysophyllum lacourtianum",27
"97","Chrysophyllum perpulchrum",2
"98","Chrysophyllum pruniforme",3
"99","Chrysophyllum subnudum",4
"100","Chytranthus talbotii",1
"101","Cleistanthus caudatus",224
"102","Cleistanthus gabonensis",1
"103","Cleistanthus libericus",8
"104","Cleistopholis glauca",6
"105","Cleistopholis patens",24
"106","Coelocaryon preussii",65
"107","Cola acuminata",2
"108","Cola altissima",1
"109","Cola lateritia",59
"110","Cola lepidota",1
"111","Cola rostrata",2
"112","Copaifera mildbraedii",7
"113","Cordia africana",1
"114","Cordia platythyrsa",4
"115","Corynanthe johimbe",4
"116","Corynanthe macroceras",69
"117","Corynanthe mayumbensis",2
"118","Corynanthe pachyceras",18
"119","Coula edulis",53
"120","Croton haumanianus",6
"121","Croton sylvaticus",5
"122","Crudia harmsiana",1
"123","Ctenolophon englerianus",128
"124","Cylicodiscus gabunensis",7
"125","Cyrtogonone argentea",6
"126","Dacryodes buettneri",5
"127","Dacryodes ebatom",7
"128","Dacryodes igaganga",16
"129","Dacryodes klaineana",2
"130","Dacryodes macrophylla",7
"131","Daniellia ogea",1
"132","Daniellia soyauxii",1
"133","Desbordesia glaucescens",125
"134","Desplatsia chrysochlamys",1
"135","Desplatsia dewevrei",6
"136","Detarium macrocarpum",1
"137","Dialium angolense",53
"138","Dialium bipindense",32
"139","Dialium dinklagei",1
"140","Dialium guineense",7
"141","Dialium pachyphyllum",5
"142","Dialium zenkeri",5
"143","Dichostemma glaucescens",58
"144","Diogoa zenkeri",23
"145","Diospyros bipindensis",27
"146","Diospyros canaliculata",2
"147","Diospyros cinnabarina",6
"148","Diospyros crassiflora",16
"149","Diospyros dendo",11
"150","Diospyros fragrans",2
"151","Diospyros gabunensis",1
