"","X","Site","Species","Genus","Family","dbh","CR","standardized_name"
"2425",2539,"mabou001","Meiocarpidium oliverianum","Meiocarpidium","Annonaceae",0.148,3.35,"Meiocarpidium oliverianum"
"2426",2543,"mabou001","Corynanthe macroceras","Corynanthe","Rubiaceae",0.248,3.05,"Corynanthe macroceras"
"2427",2558,"mabou001","Meiocarpidium oliverianum","Meiocarpidium","Annonaceae",0.105,2.85,"Meiocarpidium oliverianum"
"2428",2567,"mabou001","Ongokea gore","Ongokea","Olacaceae",0.3,1.75,"Ongokea gore"
"2429",2586,"mabou001","Santiria trimera","Santiria","Burseraceae",0.563,7.4,"Santiria trimera"
"2430",2599,"mabou001","Diogoa zenkeri","Diogoa","Olacaceae",0.459,6.65,"Diogoa zenkeri"
"2431",2612,"mabou001","Diogoa zenkeri","Diogoa","Olacaceae",0.152,1.8,"Diogoa zenkeri"
"2432",2644,"mabou001","Scottellia klaineana","Scottellia","Achariaceae",0.381,6.15,"Scottellia klaineana"
"2433",2699,"mabou001","Diogoa zenkeri","Diogoa","Olacaceae",0.22,4.1,"Diogoa zenkeri"
"2434",2714,"mabou001","Corynanthe macroceras","Corynanthe","Rubiaceae",0.473,11.8,"Corynanthe macroceras"
"2436",2737,"mabou001","Eriocoelum petiolare","Eriocoelum","Sapindaceae",0.109,1.2,"Eriocoelum petiolare"
"2437",2747,"mabou001","Diospyros cinnabarina","Diospyros","Ebenaceae",0.373,4.15,"Diospyros cinnabarina"
"2438",2927,"mabou002","Diospyros dendo","Diospyros","Ebenaceae",0.132,2.8,"Diospyros dendo"
"2439",2955,"mabou002","Neochevalierodendron stephanii","Neochevalierodendron","Fabaceae",0.446,8.3,"Neochevalierodendron stephanii"
"2440",2981,"mabou002","Maprounea membranacea","Maprounea","Euphorbiaceae",0.118,3.25,"Maprounea membranacea"
"2441",3007,"mabou002","Trichoscypha acuminata","Trichoscypha","Anacardiaceae",0.107,1.35,"Trichoscypha acuminata"
"2443",3032,"mabou002","Diospyros suaveolens","Diospyros","Ebenaceae",0.117,2.95,"Diospyros suaveolens"
"2444",3079,"mabou002","Klainedoxa gabonensis","Klainedoxa","Irvingiaceae",0.63,15.05,"Klainedoxa gabonensis"
"2445",3080,"mabou002","Chrysophyllum africanum","Chrysophyllum","Sapotaceae",0.88,12.45,"Chrysophyllum africanum"
"2446",3169,"mabou003","Afrostyrax kamerunensis","Afrostyrax","Huaceae",0.102,2.15,"Afrostyrax kamerunensis"
"2447",3245,"mabou003","Scytopetalum klaineanum","Scytopetalum","Lecythidaceae",0.134,3.25,"Scytopetalum klaineanum"
"2448",3346,"mabou003","Diospyros iturensis","Diospyros","Ebenaceae",0.195,3.2,"Diospyros iturensis"
"2449",3934,"mabou005","Trichoscypha acuminata","Trichoscypha","Anacardiaceae",0.137,2.15,"Trichoscypha acuminata"
"2450",4154,"mabou005","Greenwayodendron suaveolens","Greenwayodendron","Annonaceae",0.11,1.9,"Greenwayodendron suaveolens"
"2451",4371,"mabou006","Maesobotrya griffoniana","Maesobotrya","Phyllanthaceae",0.17,3.6,"Maesobotrya griffoniana"
"2452",4374,"mabou006","Scottellia klaineana","Scottellia","Achariaceae",0.33,3.05,"Scottellia klaineana"
"2453",4383,"mabou006","Strombosia pustulata","Strombosia","Olacaceae",0.286,3.35,"Strombosia pustulata"
"2454",4553,"mabou006","Gilletiodendron pierreanum","Gilletiodendron","Fabaceae",0.91,8.5,"Gilletiodendron pierreanum"
"2455",4563,"mabou006","Coula edulis","Coula","Olacaceae",0.65,6,"Coula edulis"
"2456",4676,"mabou007","Meiocarpidium oliverianum","Meiocarpidium","Annonaceae",0.17,4.35,"Meiocarpidium oliverianum"
"2457",4689,"mabou007","Strombosia pustulata","Strombosia","Olacaceae",0.133,1.65,"Strombosia pustulata"
"2459",4734,"mabou007","Klaineanthus gabonii","Klaineanthus","Euphorbiaceae",0.16,2.5,"Klaineanthus gabonii"
"2460",4792,"mabou011","Calpocalyx heitzii","Calpocalyx","Fabaceae",0.14,2.2,"Calpocalyx heitzii"
"2461",4820,"mabou011","Picralima nitida","Picralima","Apocynaceae",0.13,1.6,"Picralima nitida"
"2462",4844,"mabou011","Lophira alata","Lophira","Ochnaceae",0.8,14.2,"Lophira alata"
"2463",4869,"mabou011","Calpocalyx heitzii","Calpocalyx","Fabaceae",0.207,5.85,"Calpocalyx heitzii"
"2464",4877,"mabou007","Pycnanthus angolensis","Pycnanthus","Myristicaceae",0.701,9.05,"Pycnanthus angolensis"
"2465",4886,"mabou007","Macaranga barteri","Macaranga","Euphorbiaceae",0.192,5,"Macaranga barteri"
"2466",4903,"mabou007","Scytopetalum klaineanum","Scytopetalum","Lecythidaceae",0.232,3.15,"Scytopetalum klaineanum"
"2467",4943,"mabou007","Corynanthe johimbe","Corynanthe","Rubiaceae",0.271,2.15,"Corynanthe johimbe"
"2468",4962,"mabou007","Meiocarpidium oliverianum","Meiocarpidium","Annonaceae",0.167,3.85,"Meiocarpidium oliverianum"
"2469",4982,"mabou007","Meiocarpidium oliverianum","Meiocarpidium","Annonaceae",0.163,2.95,"Meiocarpidium oliverianum"
"2470",4991,"mabou007","Diospyros piscatoria","Diospyros","Ebenaceae",0.121,2.45,"Diospyros piscatoria"
"2471",5013,"mabou007","Coula edulis","Coula","Olacaceae",0.54,6.65,"Coula edulis"
"2472",5021,"mabou007","Meiocarpidium oliverianum","Meiocarpidium","Annonaceae",0.136,2.25,"Meiocarpidium oliverianum"
"2473",5026,"mabou007","Meiocarpidium oliverianum","Meiocarpidium","Annonaceae",0.157,1.45,"Meiocarpidium oliverianum"
"2474",5086,"mabou007","Dialium angolense","Dialium","Fabaceae",0.362,4.55,"Dialium angolense"
"2475",5139,"mabou007","Staudtia kamerunensis","Staudtia","Myristicaceae",0.519,6.5,"Staudtia kamerunensis"
"2476",5217,"mabou007","Diospyros rabiensis","Diospyros","Ebenaceae",0.541,5.2,"Diospyros rabiensis"
"2477",5219,"mabou007","Coula edulis","Coula","Olacaceae",0.664,5.9,"Coula edulis"
"2479",5322,"mabou008","Aulacocalyx subulata","Aulacocalyx","Rubiaceae",0.129,6.15,"Aulacocalyx subulata"
"2480",5323,"mabou008","Diospyros iturensis","Diospyros","Ebenaceae",0.218,7.7,"Diospyros iturensis"
"2481",5327,"mabou008","Chytranthus talbotii","Chytranthus","Sapindaceae",0.111,4.35,"Chytranthus talbotii"
"2482",5329,"mabou008","Afrostyrax kamerunensis","Afrostyrax","Huaceae",0.148,4.85,"Afrostyrax kamerunensis"
"2483",5350,"mabou008","Diospyros suaveolens","Diospyros","Ebenaceae",0.105,2.75,"Diospyros suaveolens"
"2484",5355,"mabou008","Diospyros iturensis","Diospyros","Ebenaceae",0.127,2.15,"Diospyros iturensis"
"2485",5362,"mabou008","Coula edulis","Coula","Olacaceae",0.529,8.9,"Coula edulis"
"2486",5415,"mabou008","Coula edulis","Coula","Olacaceae",1.03,5.5,"Coula edulis"
"2487",5547,"mabou008","Diogoa zenkeri","Diogoa","Olacaceae",0.437,3.65,"Diogoa zenkeri"
"2488",5581,"mabou008","Meiocarpidium oliverianum","Meiocarpidium","Annonaceae",0.126,4.65,"Meiocarpidium oliverianum"
"2490",5793,"mabou009","Greenwayodendron suaveolens","Greenwayodendron","Annonaceae",0.162,4.35,"Greenwayodendron suaveolens"
"2491",5803,"mabou009","Coula edulis","Coula","Olacaceae",0.474,8.25,"Coula edulis"
"2492",6024,"mabou010","Gilletiodendron pierreanum","Gilletiodendron","Fabaceae",1.04,14.05,"Gilletiodendron pierreanum"
