X,s_name,s_LMA,s_Nmass,s_Pmass,s_wsg,s_CD_a,s_CD_b,CD_Num_Ind,s_CR_a,s_CR_b,CR_Num_Ind,s_ah,s_hmax,CD_1cm,CR_1cm,H_1cm
4,Greenwayodendron suaveolens,63.25969105,36.23250525,1.465288211,0.694963592,1.576814232,0.132958429,242,1.934521246,0.713300606,162,0.449112979,62.00969303,1.756393372,0.259149688,1.350641254
13,Pterocarpus soyauxii,79.1135823,26.16574948,0.890647863,0.659830463,-0.536788726,0.244738936,57,2.199448958,0.843912507,40,0.389870389,55.92391793,-0.194508814,0.185090246,1.398551116
17,Strombosia grandifolia,86.01452632,32.72857143,2.373110825,0.819371231,-0.088865809,0.449694008,55,2.206424368,0.727360376,30,0.311327855,38.63475316,0.451822363,0.318799166,1.202346843
19,Funtumia africana,86.81166667,25,1.88,0.423986233,0.076010645,0.305218723,16,1.90528171,0.779402474,13,0.414147063,51.86831644,0.449258103,0.185630094,1.222885197
23,Anthonotha macrophylla,86.9075,25.8375,1.931666667,0.841702367,0.36422852,0.396040298,5,2.259081577,0.578401287,2,0.353770926,49.08939277,0.89866864,0.667273826,1.349458939
28,Ongokea gore,73.06367154,29.44906167,2.254346364,0.747962422,-0.115033475,0.274496436,23,1.968103762,0.83918532,14,0.393959411,52.26220889,0.240096018,0.15009491,1.293749011
31,Pycnanthus angolensis,86.02047458,25.42090288,1.437564651,0.410440971,-0.638749904,0.190081046,95,2.163999332,0.901133171,62,0.425215591,51.10456226,-0.415549981,0.137260832,1.174235559
40,Staudtia kamerunensis,56.27724663,27.12916667,1.341788665,0.794523205,0.38434007,0.14439536,82,2.069729239,0.865457639,101,0.39258499,55.52344166,0.583486276,0.147216575,1.379173169
41,Klainedoxa gabonensis,144.013188,12.55971625,0.50877196,0.924451862,-0.67540449,0.354198143,37,2.279992637,0.790413378,14,0.369151742,55.00553649,-0.161550623,0.256661935,1.450752573
45,Leplaea thompsonii,55.86345216,48.45833333,3.084139763,0.556599093,0.152695234,0.379226193,40,2.129683416,0.674901119,37,0.428432325,46.33657334,0.553487815,0.375930461,1.056869458
