"","plot_name","agb_Mg_per_Ha"
"1","abongmbang001",308.712803783784
"2","abongmbang002",173.314978832227
"3","abongmbang003",168.951790695794
"4","abongmbang004",253.210293985238
"5","abongmbang005",183.526040734553
"6","alpicam001",299.472821117331
"7","alpicam002",334.565284126018
"8","alpicam003",218.764842004761
"9","alpicam004",407.914794471332
"10","alpicam005",136.423864996967
"11","alpicam006",412.367541411977
"12","alpicam007",349.096189622935
"13","alpicam008",417.95574388666
"14","alpicam009",499.23656143561
"15","alpicam010",566.875420908371
"16","alpicam011",530.935551092338
"17","alpicam012",608.209483016152
"18","alpicam013",400.151854347493
"19","alpicam014",474.879295442766
"20","alpicam015",430.722138762438
"21","alpicam016",269.289118083988
"22","alpicam017",507.739104014975
"23","alpicam018",439.749701375215
"24","alpicam019",413.641787036728
"25","alpicam020",319.445220962194
"26","alpicam021",425.392263693898
"27","atogboga001",447.802563582979
"28","atogboga002",250.477228691956
"29","atogboga003",486.521049279817
"30","atout001",289.368185326865
"31","atout002",299.544375174251
"32","azingo001",471.935090227172
"33","azingo002",352.595276375465
"34","azingo003",302.121406555504
"35","azingo004",292.705262651945
"36","bouamir001",323.285496720428
"37","bouamir002",418.806077158716
"38","bouamir003",492.180439063275
"39","bouamir004",247.374832253091
"40","bouamir005",226.018346762411
"41","bouamir006",339.393101740336
"42","bouamir007",433.694408744107
"43","bouamir008",257.401907352739
"44","bouamir009",346.977715882316
"45","bouamir010",244.332557870994
"46","bouamir011",198.642012353947
"47","dengdeng003",388.067497696236
"48","dengdeng004",428.787675430484
"49","dengdeng005",288.175788322536
"50","dengdeng006",390.946449130578
"51","dengdeng007",478.955073153965
"52","dengdeng008",402.862868222519
"53","dengdeng009",427.209985086732
"54","dengdeng010",383.341453522576
"55","dengdeng011",230.947764537731
"56","dengdeng012",172.204810681834
"57","dengdeng013",189.739688435157
"58","dengdeng014",205.623815490671
"59","dengdeng015",195.826388568294
"60","djomedjo001",368.008783794568
"61","djomedjo002",331.573451596781
"62","djomedjo003",306.115494509893
"63","djomedjo004",247.506390721077
"64","djomedjo005",316.950713278895
"65","djomedjo006",371.006614927502
"66","djomedjo007",420.15560793913
"67","djomedjo008",350.413717887403
"68","djomedjo009",386.851085290921
"69","djomedjo010",285.002943129236
"70","evaro001",418.38016993276
"71","evaro002",214.953641603813
"72","evaro003",185.0612591573
"73","evaro004",886.76080101041
"74","evaro005",622.599659475085
"75","kikot001",107.455575031989
"76","kikot002",35.5107622356321
"77","kikot003",319.74122529029
"78","kikot004",260.853967599751
"79","kikot005",294.529267653374
"80","kikot006",121.355228548448
"81","kompia001",347.760662071862
"82","kompia002",287.352433982257
"83","kongo001",383.011978644747
"84","kongo002",326.611423191672
"85","kongo003",319.208398145327
"86","kongo004",333.388482510539
"87","kongo005",322.453687253662
"88","kongo006",305.417291531472
"89","kongo007",374.468624096644
"90","kongo008",535.342108794338
"91","korup001",211.14514143264
"92","korup002",315.788314430348
"93","kounoungou001",87.5443072553678
"94","kounoungou002",112.125588394942
"95","kounoungou003",89.489903678276
"96","kumu001",123.623245386319
"97","kumu002",117.364061006087
"98","kumu003",66.1259207328876
"99","lomie007",364.135340734225
"100","lomie008",477.643319660369
