"","plot_name","n"
"1","abongmbang001",404
"2","abongmbang002",373
"3","abongmbang003",474
"4","abongmbang004",430
"5","abongmbang005",94
"6","alpicam001",91
"7","alpicam002",83
"8","alpicam003",67
"9","alpicam004",82
"10","alpicam005",36
"11","alpicam006",94
"12","alpicam007",83
"13","alpicam008",93
"14","alpicam009",152
"15","alpicam010",108
"16","alpicam011",101
"17","alpicam012",139
"18","alpicam013",101
"19","alpicam014",105
"20","alpicam015",113
"21","alpicam016",73
"22","alpicam017",115
"23","alpicam018",121
"24","alpicam019",75
"25","alpicam020",71
"26","alpicam021",96
"27","atogboga001",105
"28","atogboga002",96
"29","atogboga003",85
"30","atout001",123
"31","atout002",107
"32","azingo001",97
"33","azingo002",102
"34","azingo003",119
"35","azingo004",74
"36","bouamir001",93
"37","bouamir002",96
"38","bouamir003",112
"39","bouamir004",70
"40","bouamir005",78
"41","bouamir006",94
"42","bouamir007",88
"43","bouamir008",75
"44","bouamir009",101
"45","bouamir010",79
"46","bouamir011",71
"47","dengdeng003",154
"48","dengdeng004",133
"49","dengdeng005",95
"50","dengdeng006",104
"51","dengdeng007",118
"52","dengdeng008",124
"53","dengdeng009",144
"54","dengdeng010",116
"55","dengdeng011",92
"56","dengdeng012",59
"57","dengdeng013",80
"58","dengdeng014",62
"59","dengdeng015",75
"60","djomedjo001",104
"61","djomedjo002",84
"62","djomedjo003",84
"63","djomedjo004",85
"64","djomedjo005",86
"65","djomedjo006",110
"66","djomedjo007",105
"67","djomedjo008",79
"68","djomedjo009",103
"69","djomedjo010",83
"70","evaro001",83
"71","evaro002",74
"72","evaro003",43
"73","evaro004",110
"74","evaro005",128
"75","kikot001",52
"76","kikot002",99
"77","kikot003",115
"78","kikot004",99
"79","kikot005",118
"80","kikot006",29
"81","kompia001",120
"82","kompia002",117
"83","kongo001",100
"84","kongo002",86
"85","kongo003",86
"86","kongo004",67
"87","kongo005",61
"88","kongo006",67
"89","kongo007",90
"90","kongo008",83
"91","korup001",73
"92","korup002",81
"93","kounoungou001",44
"94","kounoungou002",50
"95","kounoungou003",34
"96","kumu001",107
"97","kumu002",102
"98","kumu003",32
"99","lomie007",110
"100","lomie008",91
"101","mabou001",104
"102","mabou002",86
"103","mabou003",84
"104","mabou004",102
"105","mabou005",89
"106","mabou006",72
"107","mabou007",79
"108","mabou008",82
"109","mabou009",105
"110","mabou010",90
"111","mabou011",114
"112","mabou012",60
"113","mbalmayo001",70
"114","mbalmayo002",67
"115","mbalmayo003",83
"116","mbalmayo004",97
"117","mbalmayo005",69
"118","mbalmayo006",74
"119","mbalmayo007",73
"120","mbalmayo008",92
"121","mbalmayo009",176
"122","mbalmayo010",67
"123","mbalmayo011",82
"124","mbalmayo012",157
"125","mbalmayo013",45
"126","mbalmayo014",60
"127","mintom003",67
"128","mpem001",90
"129","mpem002",93
"130","mpem003",103
"131","mpem004",54
"132","mpem005",77
"133","mpem006",68
"134","mpem007",130
"135","mpem008",130
"136","mpem009",89
"137","mpem010",78
"138","nachtigal001",99
"139","nachtigal002",71
"140","nachtigal003",85
"141","nachtigal004",184
"142","nachtigal005",103
"143","nachtigal006",65
"144","nachtigal007",101
"145","nachtigal008",46
"146","nachtigal009",89
"147","nachtigal010",102
"148","nachtigal011",81
"149","nemeyong001",107
"150","nemeyong002",110
"151","nemeyong003",97
"152","nemeyong004",112
"153","nemeyong005",115
"154","nemeyong006",66
"155","nemeyong007",50
"156","nemeyong008",33
"157","ngoila001",74
"158","ngoila002",103
"159","ngoila003",55
"160","ngoila004",121
"161","ngoila005",126
"162","ngoila006",109
"163","ngovayang001",92
"164","ngovayang002",105
"165","pallisco1",119
"166","pallisco2",100
"167","pallisco3",101
"168","pallisco4",135
"169","somalomo007",76
"170","somalomo008",97
"171","somalomo009",100
"172","somalomo010",82
"173","somalomo011",91
"174","somalomo012",111
"175","somalomo013",73
"176","somalomo014",125
