standardized_name	a	b
Afrostyrax kamerunensis	2.306355	0.7330535
Afrostyrax lepidophyllus	1.9392200000000002	0.7289140000000001
Afzelia africana	2.196945	0.7326794999999999
Afzelia bipindensis	2.04874	0.729328
Aidia micrantha	2.279815	0.733854
Albizia adianthifolia	2.080425	0.735079
Albizia ferruginea	2.177695	0.7328715
Albizia glaberrima	2.367355	0.7337895
Albizia gummifera	2.22797	0.737634
Albizia zygia	1.9393500000000001	0.729851
Allanblackia floribunda	1.6548349999999998	0.722248
Allanblackia kisonghi	1.94935	0.7262120000000001
Allanblackia staneriana	2.1209100000000003	0.7302255
Allophylus africanus	2.26199	0.7318009999999999
Alstonia boonei	1.8691	0.7207494999999999
Amphimas pterocarpoides	1.8024149999999999	0.7268235000000001
Angylocalyx pynaertii	2.00174	0.730728
Annea afzelii	2.099415	0.7309625
Annickia affinis	1.42604	0.711331
Annickia chlorantha	2.07404	0.729897
Anonidium mannii	1.996665	0.727952
Anopyxis klaineana	1.992185	0.7263470000000001
Anthocleista liebrechtsiana	2.1418850000000003	0.7317914999999999
Anthocleista vogelii	2.1792249999999997	0.7334935
Anthonotha cladantha	2.228725	0.7332605
Anthonotha macrophylla	2.44011	0.7358545
Anthostema aubryanum	1.82918	0.7257945
Antiaris toxicaria	2.073645	0.728591
Antidesma laciniatum	2.1899699999999998	0.7316065
Antidesma membranaceum	2.337935	0.7344295000000001
Antrocaryon klaineanum	2.1312499999999996	0.730496
Antrocaryon micraster	2.06714	0.7288725
Aoranthe cladantha	1.970155	0.7276595
Aubrevillea kerstingii	1.960715	0.7292655
Aucoumea klaineana	2.23571	0.736165
Aulacocalyx caudata	2.1977700000000002	0.7312915
Aulacocalyx subulata	2.40877	0.7347075000000001
Autranella congolensis	2.091875	0.7311885
Baillonella toxisperma	2.11121	0.7300925
Balanites wilsoniana	1.999025	0.7274075
Baphia buettneri	2.3040700000000003	0.73429
Baphia leptobotrys	2.35691	0.734398
Barteria fistulosa	2.074865	0.7300515000000001
Beilschmiedia congolana	2.05761	0.728213
Beilschmiedia fulva	2.1094	0.730551
Beilschmiedia obscura	2.04013	0.728296
Bersama abyssinica	1.889215	0.72703
Blighia sapida	2.1270949999999997	0.7309395
Blighia unijugata	2.26288	0.730946
Blighia welwitschii	1.917275	0.722407
Bobgunnia fistuloides	2.2406499999999996	0.732703
Bombax buonopozense	2.191245	0.7320154999999999
Brenania brieyi	1.91886	0.725132
Bridelia micrantha	2.212005	0.730685
Calpocalyx dinklagei	1.99886	0.729073
Calpocalyx heitzii	2.3042249999999997	0.7339450000000001
Canarium schweinfurthii	1.933045	0.728
Carapa procera	1.947505	0.729149
Casearia barteri	2.16434	0.7317935
Cassia javanica	2.2059699999999998	0.7317615
Cavacoa quintasii	2.09707	0.73034
Ceiba pentandra	2.012505	0.7283569999999999
Celtis adolfi-friderici	2.03873	0.7305785
Celtis africana	2.130175	0.733779
Celtis mildbraedii	1.987345	0.729618
Celtis tessmannii	2.03751	0.732157
Celtis zenkeri	1.97099	0.727819
Centroplacus glaucinus	2.3034299999999996	0.734146
Chrysophyllum africanum	2.35319	0.7352215
Chrysophyllum beguei	2.0705	0.7291445000000001
Chrysophyllum boukokoense	2.087115	0.7316175
Chrysophyllum lacourtianum	2.08026	0.7288600000000001
Chrysophyllum subnudum	2.20315	0.7324200000000001
Chytranthus talbotii	2.35086	0.7343955
Clausena anisata	2.3271949999999997	0.733754
Cleistanthus caudatus	2.381285	0.7245235
Cleistanthus libericus	2.10069	0.730283
Cleistopholis glauca	2.09654	0.730337
Cleistopholis patens	1.924215	0.7282595000000001
Coelocaryon preussii	1.8967749999999999	0.7235155
Cola acuminata	2.357085	0.7350639999999999
Cola lateritia	1.7786499999999998	0.7244955
Cola nitida	2.134665	0.7313655
Copaifera mildbraedii	2.161085	0.732272
Cordia africana	2.1855	0.7326085
Corynanthe johimbe	2.0853900000000003	0.729451
Corynanthe macroceras	2.10133	0.7278070000000001
Corynanthe mayumbensis	2.2277050000000003	0.7319880000000001
Corynanthe pachyceras	2.4864949999999997	0.7352985
Coula edulis	2.3775500000000003	0.7311405
Croton sylvaticus	2.124925	0.730221
Ctenolophon englerianus	2.1392550000000004	0.720429
Cylicodiscus gabunensis	2.2930099999999998	0.7374075
Cyrtogonone argentea	2.073555	0.7287705
Dacryodes buettneri	2.389055	0.7377145
Dacryodes ebatom	2.417415	0.7368395
Dacryodes edulis	1.9565549999999998	0.72794
Dacryodes igaganga	2.09127	0.73024
Dacryodes klaineana	2.2643	0.734018
Dacryodes macrophylla	2.29983	0.732975
Desbordesia glaucescens	1.934025	0.724442
Desplatsia chrysochlamys	2.04481	0.72934
Desplatsia dewevrei	2.25903	0.7342245000000001
Detarium macrocarpum	2.20794	0.7335115000000001
Dialium angolense	2.220715	0.732881
Dialium bipindense	2.13783	0.73054
Dialium guineense	2.174985	0.7324505
Dialium pachyphyllum	2.3239650000000003	0.7361105
Dialium tessmannii	2.175725	0.7307505
Dialium zenkeri	2.0526299999999997	0.7289829999999999
Dichostemma glaucescens	1.91013	0.7296009999999999
Diogoa zenkeri	2.285485	0.7336115
Diospyros bipindensis	1.7412800000000002	0.724459
Diospyros canaliculata	2.027265	0.7282835000000001
Diospyros cinnabarina	1.9733800000000001	0.7297885
Diospyros crassiflora	1.805025	0.7260800000000001
Diospyros dendo	2.2881799999999997	0.733908
Diospyros hoyleana	2.04939	0.729488
Diospyros iturensis	2.1822150000000002	0.733188
Diospyros mannii	1.7417799999999999	0.725339
Diospyros physocalycina	2.237945	0.7321709999999999
Diospyros piscatoria	2.1818	0.7313369999999999
Diospyros rabiensis	2.11973	0.7307220000000001
Diospyros rubicunda	2.1234349999999997	0.7293995
Diospyros sanza-minika	2.088415	0.7300705000000001
Diospyros suaveolens	2.34121	0.733428
Diospyros zenkeri	2.2743599999999997	0.733402
Discoglypremna caloneura	1.95604	0.7286954999999999
Dracaena arborea	2.0092800000000004	0.7280105
Drypetes chevalieri	2.184225	0.731332
Drypetes cinnabarina	2.197025	0.731759
Drypetes diopa	2.16763	0.7321735
Drypetes gilgiana	2.0910900000000003	0.7302820000000001
Drypetes gossweileri	2.025085	0.7257985
Drypetes ituriensis	2.16832	0.731131
Drypetes leonensis	2.119735	0.725347
Drypetes moliwensis	2.11156	0.730615
Drypetes occidentalis	2.211075	0.734785
Drypetes paxii	2.29009	0.7342535
Drypetes polyantha	2.250915	0.7319869999999999
Drypetes preussii	1.918215	0.726831
Drypetes rubriflora	2.167365	0.73136
Duboscia macrocarpa	1.9645100000000002	0.7241949999999999
Duboscia viridiflora	2.17753	0.7318255
Duguetia confinis	2.28452	0.733283
Duguetia staudtii	1.860875	0.725538
Elaeis guineensis	1.57985	0.717827
Endodesmia calophylloides	2.2359400000000003	0.7331485
Entandrophragma angolense	1.86506	0.7279055000000001
Entandrophragma candollei	1.77368	0.7298785
Entandrophragma cylindricum	2.0503549999999997	0.7348135
Entandrophragma utile	1.91	0.727554
Eribroma oblongum	2.002695	0.7304615000000001
Eriocoelum oblongum	2.16662	0.73091
Eriocoelum paniculatum	2.176675	0.7314505
Eriocoelum petiolare	2.05277	0.730367
Erismadelphus exsul	2.0271	0.7287060000000001
Erythrophleum suaveolens	2.4602250000000003	0.7352055
Erythroxylum mannii	2.189345	0.732193
Fernandoa adolfi-friderici	1.89343	0.725061
Ficus elasticoides	2.0144450000000003	0.7270570000000001
Ficus wildemaniana	2.144765	0.7310415
Fillaeopsis discophora	2.232995	0.7327494999999999
Funtumia africana	1.92947	0.718012
Funtumia elastica	1.80259	0.7264185000000001
Ganophyllum giganteum	2.134465	0.729104
Garcinia epunctata	2.264505	0.732097
Garcinia lucida	1.979685	0.727411
Garcinia ovalifolia	1.8008099999999998	0.724468
Garcinia punctata	2.551195	0.7350965
