genus	species	gmax	ah	hmax	label
Abarema	jupunba	1.792235	0.26263198628729223	45.30366362713062	A.jupunba
Albizia	pedicellaris	1.3978000000000002	NA	NA	A.pedicellaris
Ambelania	acida	0.575445	0.2897018980957568	40.86136031667581	A.acida
Amphirrhox	longifolia	0.4759894999999999	NA	NA	A.longifolia
Andira	coriacea	0.8161565	NA	NA	A.coriacea
Annona	exsucca	1.3638849999999998	NA	NA	A.exsucca
Apeiba	glabra	0.8521034999999999	NA	NA	A.glabra
Bellucia	arborescens	1.274765	NA	NA	B.arborescens
Bocoa	prouacensis	0.532562	0.25869588352463924	47.14562969570345	B.prouacensis
Brosimum	guianense	0.70047125	0.2794087561794052	44.623209611662745	B.guianense
Byrsonima	aerugo	1.590235	NA	NA	B.aerugo
Byrsonima	densa	1.80017	NA	NA	B.densa
Byrsonima	laevigata	1.0693730000000001	NA	NA	B.laevigata
Carapa	surinamensis	0.850081	NA	NA	C.surinamensis
Caryocar	glabrum	0.724376	0.30244826522547075	47.13042741052266	C.glabrum
Casearia	decandra	1.21592	NA	NA	C.decandra
Catostemma	fragrans	0.56428125	NA	NA	C.fragrans
Cecropia	obtusa	4.4974099999999995	0.2627676702333935	47.05262168297395	C.obtusa
Cecropia	sciadophylla	3.48504	NA	NA	C.sciadophylla
Chaetocarpus	schomburgkianus	0.3846605	NA	NA	C.schomburgkianus
Chaunochiton	kappleri	0.733643	NA	NA	C.kappleri
Chrysophyllum	sanguinolentum	0.672114	0.29653038256894415	46.0923016509241	C.sanguinolentum
Conceveiba	guianensis	0.9520305	NA	NA	C.guianensis
Cordia	sagotii	0.81242425	NA	NA	C.sagotii
Couepia	habrantha	0.835124	NA	NA	C.habrantha
Couratari	multiflora	0.67160375	NA	NA	C.multiflora
Cupania	scrobiculata	0.5777605	NA	NA	C.scrobiculata
Dacryodes	nitens	0.74895325	NA	NA	D.nitens
Dendrobangia	boliviana	0.6900995	NA	NA	D.boliviana
Dicorynia	guianensis	0.5170885000000001	0.24471660006366358	50.60938939943706	D.guianensis
Didymopanax	decaphyllus	1.375645	NA	NA	D.decaphyllus
Drypetes	fanshawei	0.9683375	NA	NA	D.fanshawei
Drypetes	variabilis	0.5168915000000001	NA	NA	D.variabilis
Duguetia	calycina	0.5366595000000001	NA	NA	D.calycina
Duroia	longiflora	0.44612075000000007	NA	NA	D.longiflora
Eperua	falcata	0.582739	0.2737081979989126	45.541383369770315	E.falcata
Eperua	grandiflora	0.41935925000000007	NA	NA	E.grandiflora
Eriotheca	globosa	0.7722640000000001	0.27315145890534553	46.8257079803109	E.globosa
Eschweilera	congestiflora	0.59422475	NA	NA	E.congestiflora
Eschweilera	coriacea	0.760335	0.3602002252459865	51.85253559673048	E.coriacea
Eschweilera	decolorans	0.34390175	NA	NA	E.decolorans
Eschweilera	sagotiana	0.5326525	NA	NA	E.sagotiana
Garcinia	benthamiana	0.6331665	NA	NA	G.benthamiana
Garcinia	madruno	0.6339889999999999	0.2579925308711225	47.72469956244929	G.madruno
Goupia	glabra	1.02377	0.25948023131382547	45.76492595967509	G.glabra
Guatteria	schomburgkiana	0.94745825	0.2848850337502675	52.71773659402433	G.schomburgkiana
Gustavia	hexapetala	0.429236	0.26869362766569466	45.463380918930355	G.hexapetala
Hebepetalum	humiriifolium	0.66884	NA	NA	H.humiriifolium
Henriettea	flavescens	1.330325	NA	NA	H.flavescens
Hevea	guianensis	0.7107195	0.27349005869969323	41.38500696341315	H.guianensis
Hirtella	bicornis	0.5158255	NA	NA	H.bicornis
Homalolepis	cedron	0.483552	0.299553053074813	41.730529759083446	H.cedron
Hymenopus	heteromorphus	0.5529887499999999	NA	NA	H.heteromorphus
Inga	alba	2.272355	0.2527498749754885	47.067337080460355	I.alba
Inga	cayennensis	1.2424	NA	NA	I.cayennensis
Inga	loubryana	0.621227	NA	NA	I.loubryana
Inga	marginata	1.4302125	NA	NA	I.marginata
Inga	pezizifera	2.5588100000000003	NA	NA	I.pezizifera
Inga	rubiginosa	1.586195	NA	NA	I.rubiginosa
Inga	sarmentosa	1.44973	NA	NA	I.sarmentosa
Inga	sp	1.72363	NA	NA	I.sp
Inga	thibaudiana	2.764555	0.3076988510488129	48.22153704085183	I.thibaudiana
Iryanthera	hostmannii	0.5498244999999999	NA	NA	I.hostmannii
Iryanthera	sagotiana	0.664223	0.2719020262675208	46.66548108864923	I.sagotiana
Isertia	coccinea	1.8627349999999998	NA	NA	I.coccinea
Jacaranda	copaia	1.1187999999999998	0.22730541498841444	39.40910046995806	J.copaia
Lacmellea	aculeata	0.741915	0.27300177338254406	46.08671900990229	L.aculeata
Laetia	procera	1.2314850000000002	0.29144861091556906	48.473427709764195	L.procera
Lecythis	persistens	0.5308714999999999	NA	NA	L.persistens
Lecythis	poiteaui	0.67381125	NA	NA	L.poiteaui
Lecythis	zabucajo	0.566523	NA	NA	L.zabucajo
Leptobalanus	sprucei	0.48546225	NA	NA	L.sprucei
Licania	alba	0.5033745000000001	0.2718070231650528	45.73233680603883	L.alba
Licania	canescens	0.628407	0.24924480253351006	47.77006814287846	L.canescens
Licania	densiflora	0.478044	NA	NA	L.densiflora
Licania	membranacea	0.6493115	NA	NA	L.membranacea
Licania	micrantha	0.4546275	NA	NA	L.micrantha
Mabea	piriri	0.820392	NA	NA	M.piriri
Macoubea	guianensis	1.0969950000000002	NA	NA	M.guianensis
Manilkara	bidentata	0.6357655	0.25906901085494616	50.09412219693118	M.bidentata
Miconia	acuminata	1.351455	NA	NA	M.acuminata
Miconia	minutiflora	1.743765	NA	NA	M.minutiflora
Miconia	tschudyoides	1.432735	NA	NA	M.tschudyoides
Micropholis	guyanensis	0.6724645	0.28723978803131306	43.7945294781633	M.guyanensis
Monteverdia	oblongata	0.367544	NA	NA	M.oblongata
Moronobea	coccinea	0.44608974999999995	0.2745719423751111	46.71389633303059	M.coccinea
Mouriri	crassifolia	0.60412	0.25331904796189364	46.91486595147405	M.crassifolia
Ocotea	percurrens	0.80955775	NA	NA	O.percurrens
Oenocarpus	bacaba	1.555435	NA	NA	O.bacaba
Oenocarpus	bataua	3.001045	NA	NA	O.bataua
Ormosia	coutinhoi	0.4991405	NA	NA	O.coutinhoi
Oxandra	asbeckii	0.4913315	NA	NA	O.asbeckii
Pachira	dolichocalyx	0.60414525	NA	NA	P.dolichocalyx
Parkia	nitida	1.62065	0.2979383160474772	35.96738222374795	P.nitida
Parkia	velutina	0.6514040000000001	NA	NA	P.velutina
Pogonophora	schomburgkiana	0.5163145	NA	NA	P.schomburgkiana
Poraqueiba	guianensis	0.7737005	NA	NA	P.guianensis
Posoqueria	latifolia	0.3619465	0.29809830977189566	40.280580947715706	P.latifolia
Pourouma	bicolor	1.4445275	0.3009571952093548	41.147368060357664	P.bicolor
Pourouma	melinonii	1.54414	NA	NA	P.melinonii
Pouteria	bangii	1.03225	NA	NA	P.bangii
Pouteria	gonggrijpii	0.654044	NA	NA	P.gonggrijpii
Pouteria	guianensis	0.76785475	0.2832338484797733	47.698502174269606	P.guianensis
Pradosia	cochlearia	0.47666425	0.287196046222447	51.4022400771787	P.cochlearia
Protium	decandrum	0.875488	NA	NA	P.decandrum
Protium	guianense	0.5860865	NA	NA	P.guianense
Protium	opacum	0.6447285	NA	NA	P.opacum
Protium	subserratum	0.9941035	NA	NA	P.subserratum
Qualea	rosea	0.8961465	NA	NA	Q.rosea
Recordoxylon	speciosum	0.6093645000000001	NA	NA	R.speciosum
Rhodostemonodaphne	grandis	1.2140374999999999	NA	NA	R.grandis
Sandwithia	guyanensis	0.4735645	NA	NA	S.guyanensis
Simarouba	amara	1.8611149999999999	0.2798214808923578	45.45640546214493	S.amara
Sterculia	pruriens	1.51919	0.3352017692700143	52.18891707160637	S.pruriens
Swartzia	polyphylla	0.644041	0.2936717307126683	44.64703779682493	S.polyphylla
Symphonia	globulifera	0.9704364999999999	0.2969542451487499	50.511301860904275	S.globulifera
Symphonia	sp	0.6146625	NA	NA	S.sp
Tachigali	melinonii	1.48011	NA	NA	T.melinonii
Tachigali	paraensis	1.7527724999999998	NA	NA	T.paraensis
Talisia	hexaphylla	0.497986	NA	NA	T.hexaphylla
Talisia	simaboides	0.8166395	NA	NA	T.simaboides
Tapirira	bethanniana	1.4952100000000002	NA	NA	T.bethanniana
Tapirira	guianensis	1.714215	0.28971810484450405	42.70638892633895	T.guianensis
Tapirira	obtusa	1.440105	0.30273951177340164	37.444037096852	T.obtusa
Tapura	capitulifera	0.4291405	NA	NA	T.capitulifera
Theobroma	guianense	0.6227400000000001	NA	NA	T.guianense
Thyrsodium	puberulum	0.9206115	NA	NA	T.puberulum
Tovomita	brevistaminea	0.457982	NA	NA	T.brevistaminea
Tovomita	caloneura	0.5201835	NA	NA	T.caloneura
Tovomita	obovata	0.66285175	NA	NA	T.obovata
Unonopsis	rufescens	0.5798615	NA	NA	U.rufescens
Virola	michelii	0.954008	0.30249487744527537	51.25474475671433	V.michelii
Vismia	guianensis	2.3573825	0.307969511060593	33.68996510647553	V.guianensis
Vismia	latifolia	2.927885	0.2710150324338216	46.10338962149502	V.latifolia
Vismia	sessilifolia	1.59603	NA	NA	V.sessilifolia
Votomita	guianensis	0.52710875	NA	NA	V.guianensis
Vouacapoua	americana	0.6260870000000001	0.20547688974072864	47.824325631877045	V.americana
Xylopia	nitida	1.54649	0.29465188102878	51.149518704146416	X.nitida
